player,salary,season_start,season_end,team,team_name,Pos,Age
Kent Bazemore,16910113,2017,2018,ATL,Atlanta Hawks,SF,27.0
Dennis Schroder,15500000,2017,2018,ATL,Atlanta Hawks,PG,23.0
Miles Plumlee,12500000,2017,2018,ATL,Atlanta Hawks,C,28.0
Jamal Crawford,10942762,2017,2018,ATL,Atlanta Hawks,SG,36.0
Marco Belinelli,6606060,2017,2018,ATL,Atlanta Hawks,SG,30.0
Dewayne Dedmon,6000000,2017,2018,ATL,Atlanta Hawks,C,27.0
Ersan Ilyasova,6000000,2017,2018,ATL,Atlanta Hawks,PF,29.0
Mike Muscala,5000000,2017,2018,ATL,Atlanta Hawks,C,25.0
Malcolm Delaney,2500000,2017,2018,ATL,Atlanta Hawks,PG,27.0
Richard Jefferson,2500000,2017,2018,ATL,Atlanta Hawks,SF,36.0
Taurean Waller-Prince,2422560,2017,2018,ATL,Atlanta Hawks,SF,22.0
Luke Babbitt,1974159,2017,2018,ATL,Atlanta Hawks,SF,27.0
John Collins,1936920,2017,2018,ATL,Atlanta Hawks,,
Mike Dunleavy,1662500,2017,2018,ATL,Atlanta Hawks,SF,36.0
DeAndre\' Bembry,1567200,2017,2018,ATL,Atlanta Hawks,,
Nicolas Brussino,1312611,2017,2018,ATL,Atlanta Hawks,SG,23.0
Diamond Stone,1312611,2017,2018,ATL,Atlanta Hawks,C,19.0
Isaiah Taylor,1312611,2017,2018,ATL,Atlanta Hawks,PG,22.0
Tyler Dorsey,815615,2017,2018,ATL,Atlanta Hawks,,
Quinn Cook,100000,2017,2018,ATL,Atlanta Hawks,PG,23.0
Jeremy Evans,50000,2017,2018,ATL,Atlanta Hawks,,
Tyler Cavanaugh,50000,2017,2018,ATL,Atlanta Hawks,,
DeAndre Liggins,26773,2017,2018,ATL,Atlanta Hawks,SG,28.0
Gordon Hayward,29727900,2017,2018,BOS,Boston Celtic,SF,26.0
Al Horford,27734405,2017,2018,BOS,Boston Celtic,C,30.0
Kyrie Irving,18868625,2017,2018,BOS,Boston Celtic,PG,24.0
Jayson Tatum,5645400,2017,2018,BOS,Boston Celtic,,
Marcus Morris,5000000,2017,2018,BOS,Boston Celtic,SF,27.0
Jaylen Brown,4956480,2017,2018,BOS,Boston Celtic,SF,20.0
Marcus Smart,4538020,2017,2018,BOS,Boston Celtic,SG,22.0
Aron Baynes,4328000,2017,2018,BOS,Boston Celtic,C,30.0
Guerschon Yabusele,2247480,2017,2018,BOS,Boston Celtic,,
Terry Rozier,1988520,2017,2018,BOS,Boston Celtic,PG,22.0
Shane Larkin,1524305,2017,2018,BOS,Boston Celtic,,
Semi Ojeleye,1291892,2017,2018,BOS,Boston Celtic,,
Abdel Nader,1167333,2017,2018,BOS,Boston Celtic,,
Daniel Theis,815615,2017,2018,BOS,Boston Celtic,,
Demetrius Jackson,92858,2017,2018,BOS,Boston Celtic,PG,22.0
Dwight Howard,23500000,2017,2018,CHA,Charlotte Hornets,C,31.0
Nicolas Batum,22434783,2017,2018,CHA,Charlotte Hornets,SG,28.0
Marvin Williams,13168750,2017,2018,CHA,Charlotte Hornets,PF,30.0
Michael Kidd-Gilchrist,13000000,2017,2018,CHA,Charlotte Hornets,SF,23.0
Cody Zeller,12584270,2017,2018,CHA,Charlotte Hornets,C,24.0
Kemba Walker,12000000,2017,2018,CHA,Charlotte Hornets,PG,26.0
Jeremy Lamb,7000000,2017,2018,CHA,Charlotte Hornets,SG,24.0
Malik Monk,2904480,2017,2018,CHA,Charlotte Hornets,,
Frank Kaminsky,2847600,2017,2018,CHA,Charlotte Hornets,C,23.0
Michael Carter-Williams,2700000,2017,2018,CHA,Charlotte Hornets,PG,25.0
Johnny O\'Bryant,1524305,2017,2018,CHA,Charlotte Hornets,,
Julyan Stone,1524305,2017,2018,CHA,Charlotte Hornets,,
Treveon Graham,1312611,2017,2018,CHA,Charlotte Hornets,SG,23.0
Dwayne Bacon,815615,2017,2018,CHA,Charlotte Hornets,,
Dwyane Wade,15550000,2017,2018,CHI,Chicago Bulls,SG,35.0
Robin Lopez,13788500,2017,2018,CHI,Chicago Bulls,C,28.0
Nikola Mirotic,12500000,2017,2018,CHI,Chicago Bulls,PF,25.0
Cristiano Felicio,7843500,2017,2018,CHI,Chicago Bulls,C,24.0
Justin Holiday,4615385,2017,2018,CHI,Chicago Bulls,SG,27.0
Kris Dunn,4046760,2017,2018,CHI,Chicago Bulls,PG,22.0
Quincy Pondexter,3853931,2017,2018,CHI,Chicago Bulls,,
Lauri Markkanen,3821640,2017,2018,CHI,Chicago Bulls,,
Zach LaVine,3202217,2017,2018,CHI,Chicago Bulls,SG,21.0
Rajon Rondo,3000000,2017,2018,CHI,Chicago Bulls,PG,30.0
Cameron Payne,2203440,2017,2018,CHI,Chicago Bulls,PG,22.0
Denzel Valentine,2186400,2017,2018,CHI,Chicago Bulls,SG,23.0
Jerian Grant,1713840,2017,2018,CHI,Chicago Bulls,PG,24.0
Bobby Portis,1516320,2017,2018,CHI,Chicago Bulls,PF,21.0
Paul Zipser,1312611,2017,2018,CHI,Chicago Bulls,SF,22.0
Kay Felder,1312611,2017,2018,CHI,Chicago Bulls,PG,21.0
David Nwaba,1312611,2017,2018,CHI,Chicago Bulls,SG,24.0
Isaiah Canaan,200000,2017,2018,CHI,Chicago Bulls,SG,25.0
Jarell Eddie,17224,2017,2018,CHI,Chicago Bulls,SF,25.0
LeBron James,33285709,2017,2018,CLE,Cleveland Caveliers,SF,32.0
Kevin Love,22642350,2017,2018,CLE,Cleveland Caveliers,PF,28.0
Tristan Thompson,16400000,2017,2018,CLE,Cleveland Caveliers,C,25.0
J.R. Smith,13760000,2017,2018,CLE,Cleveland Caveliers,SG,31.0
Iman Shumpert,10337079,2017,2018,CLE,Cleveland Caveliers,SG,26.0
Channing Frye,7420912,2017,2018,CLE,Cleveland Caveliers,C,33.0
Kyle Korver,7000000,2017,2018,CLE,Cleveland Caveliers,SG,35.0
Jae Crowder,6796117,2017,2018,CLE,Cleveland Caveliers,SF,26.0
Isaiah Thomas,6261395,2017,2018,CLE,Cleveland Caveliers,PG,27.0
Cedi Osman,2642857,2017,2018,CLE,Cleveland Caveliers,,
Jose Calderon,2328652,2017,2018,CLE,Cleveland Caveliers,PG,35.0
Jeff Green,2116955,2017,2018,CLE,Cleveland Caveliers,PF,30.0
Derrick Rose,2116955,2017,2018,CLE,Cleveland Caveliers,PG,28.0
Ante Zizic,1645200,2017,2018,CLE,Cleveland Caveliers,,
Harrison Barnes,23112004,2017,2018,DAL,Dallas Mavericks,PF,24.0
Wesley Matthews,17884176,2017,2018,DAL,Dallas Mavericks,SG,30.0
Dwight Powell,9003125,2017,2018,DAL,Dallas Mavericks,C,25.0
Josh McRoberts,6021175,2017,2018,DAL,Dallas Mavericks,PF,29.0
Dirk Nowitzki,5000000,2017,2018,DAL,Dallas Mavericks,PF,38.0
Devin Harris,4402546,2017,2018,DAL,Dallas Mavericks,PG,33.0
Nerlens Noel,4187599,2017,2018,DAL,Dallas Mavericks,C,22.0
J.J. Barea,3903900,2017,2018,DAL,Dallas Mavericks,PG,32.0
Dennis Smith,3218280,2017,2018,DAL,Dallas Mavericks,,
Seth Curry,3028410,2017,2018,DAL,Dallas Mavericks,PG,26.0
Jeff Withey,1577320,2017,2018,DAL,Dallas Mavericks,C,26.0
Salah Mejri,1471382,2017,2018,DAL,Dallas Mavericks,C,30.0
Dorian Finney-Smith,1312611,2017,2018,DAL,Dallas Mavericks,PF,23.0
Yogi Ferrell,1312611,2017,2018,DAL,Dallas Mavericks,PG,23.0
Maxi Kleber,815615,2017,2018,DAL,Dallas Mavericks,,
Gal Mekel,315760,2017,2018,DAL,Dallas Mavericks,,
Gian Clavell,50000,2017,2018,DAL,Dallas Mavericks,,
Paul Millsap,31269231,2017,2018,DEN,Denver Nuggets,PF,31.0
Mason Plumlee,14041096,2017,2018,DEN,Denver Nuggets,C,26.0
Kenneth Faried,12921348,2017,2018,DEN,Denver Nuggets,PF,27.0
Wilson Chandler,12016854,2017,2018,DEN,Denver Nuggets,SF,29.0
Darrell Arthur,7464912,2017,2018,DEN,Denver Nuggets,PF,28.0
Jameer Nelson,4736050,2017,2018,DEN,Denver Nuggets,PG,34.0
Will Barton,3533333,2017,2018,DEN,Denver Nuggets,SG,26.0
Emmanuel Mudiay,3381480,2017,2018,DEN,Denver Nuggets,PG,20.0
Jamal Murray,3355320,2017,2018,DEN,Denver Nuggets,SG,19.0
Gary Harris,2550055,2017,2018,DEN,Denver Nuggets,SG,22.0
Trey Lyles,2441400,2017,2018,DEN,Denver Nuggets,PF,21.0
Juan Hernangomez,2076840,2017,2018,DEN,Denver Nuggets,PF,21.0
Malik Beasley,1700640,2017,2018,DEN,Denver Nuggets,SG,20.0
Tyler Lydon,1579440,2017,2018,DEN,Denver Nuggets,,
Nikola Jokic,1471382,2017,2018,DEN,Denver Nuggets,C,21.0
Andre Drummond,23775506,2017,2018,DET,Detroit Pistons,C,23.0
Tobias Harris,16000000,2017,2018,DET,Detroit Pistons,PF,24.0
Reggie Jackson,16000000,2017,2018,DET,Detroit Pistons,PG,26.0
Jon Leuer,10497319,2017,2018,DET,Detroit Pistons,PF,27.0
Avery Bradley,8808989,2017,2018,DET,Detroit Pistons,SG,26.0
Boban Marjanovic,7000000,2017,2018,DET,Detroit Pistons,C,28.0
Langston Galloway,6666667,2017,2018,DET,Detroit Pistons,PG,25.0
Ish Smith,6000000,2017,2018,DET,Detroit Pistons,PG,28.0
Josh Smith,5400000,2017,2018,DET,Detroit Pistons,,
Anthony Tolliver,3290000,2017,2018,DET,Detroit Pistons,PF,31.0
